name                               ,date_confirmed ,country             ,city                   ,image                                                                                                                                                                                                                                      ,link                                                                            ,distance_5 ,distance_10 ,distance_15 ,distance_20 ,distance_25 ,distance_30 ,distance_35 ,distance_40 ,distance_45 ,distance_50 ,distance_55 ,distance_60 ,distance_65 ,distance_70 ,distance_75 ,distance_80 ,distance_85 ,distance_90 ,distance_95 ,distance_100 ,distance_105 ,distance_110 ,distance_115 ,distance_120 ,distance_125 ,distance_130 ,distance_135 ,distance_140 ,distance_145 ,distance_150 ,distance_155 ,distance_160 ,distance_165 ,distance_170 ,distance_175 ,distance_250 ,distance_300 ,style_ ,style_Altitude ,style_Asateam ,style_Autonomy ,style_Capitals/largecities ,style_Cascade ,style_Castles ,style_Children's&Juniors ,style_CitytoCity ,style_Cliffs ,style_Cross-border ,style_Culture&History ,style_Duo ,style_Forest ,style_Island ,style_Lakes&ponds ,style_Mountain ,style_Mustsee! ,style_Nature ,style_Nocturnal ,style_Overseveraldays ,style_Relay ,style_Sand ,style_Seaside ,style_Snow ,style_Stages ,style_UTMBWorldSeries ,style_UrbanTrail ,style_Vertical ,style_Vineyard ,disipline_Road Running ,disipline_Trail ,disipline_Walking ,multidays ,start_day ,end_day ,month ,year   ,duration ,latitude    ,longitude
Nice Côte d'Azur                   ,True           ,France              ,Nice                   ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/france/provence-alpes-cote-dazur/alpes-maritimes/nice-cote-dazur-by-utmb/gloc3msqb0cje0acgiq6"                                  ,https://www.finishers.com/en/event/nice-cote-dazur-by-utmb                      ,False      ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,True   ,True           ,False         ,False          ,True                       ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,False             ,True           ,True           ,True         ,True            ,False                 ,False       ,False      ,True          ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,True      ,     26.0 ,   28.0 ,  9.0 ,2025.0 ,     2.0 ,43.7009358  ,7.2683912
Tarawera Ultra-Trail New Zealand   ,True           ,New Zealand         ,Rotorua                ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/oceanie/nouvelle-zelande/bay-of-plenty/tarawera-ultramarathon/AdobeStock_129727952_z90ww5"                                             ,https://www.finishers.com/en/event/tarawera-ultra-trail-new-zealand-by-utmb-r   ,False      ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,True          ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,True              ,True           ,False          ,True         ,False           ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,False     ,     15.0 ,   15.0 ,  2.0 ,2025.0 ,     1.0 ,-38.1381493 ,176.252922
Amazean Jungle Thailand            ,False          ,Thailand            ,Betong                 ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/asie/thailande/province-de-yala/betong/amazean-jungle-thailand-by-utmbr/j3errxwrnxsvi7ud3fh5"                                          ,https://www.finishers.com/en/event/amazean-jungle-thailand-by-utmb              ,False      ,False       ,True        ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,False        ,False        ,False             ,True           ,False          ,True         ,False           ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,          ,          ,        ,  2.0 ,2025.0 ,         ,1.47972915  ,111.47478700618396
Valhöll Argentina                  ,True           ,Argentina           ,Belgrano               ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/amerique-du-sud/argentine/mendoza/guaymallen/valholl-ultra-trail/VALHÖLL_ULTRA_TRAIL_bl5uzv"                                           ,https://www.finishers.com/en/event/valholl-ultra-trail-argentina-utmb           ,False      ,True        ,False       ,True        ,False       ,False       ,True        ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False  ,True           ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,False             ,True           ,False          ,True         ,False           ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,True      ,     20.0 ,   21.0 ,  3.0 ,2025.0 ,     1.0 ,-34.612958  ,-58.3776468
Chianti Ultra Trail                ,True           ,Italy               ,Radda in Chianti       ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/italie/toscana/provincia-di-siena/chianti-trail-ultra/AdobeStock_343851375_rq93yz"                                              ,https://www.finishers.com/en/event/chianti-ultra-trail-by-utmb                  ,False      ,True        ,False       ,True        ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,True                  ,False     ,True         ,False        ,False             ,True           ,False          ,True         ,True            ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,True           ,False                  ,True            ,False             ,True      ,     21.0 ,   23.0 ,  3.0 ,2025.0 ,     2.0 ,43.4870518  ,11.3747003
Desert Rats Trail Running Festival ,False          ,United States       ,Fruita                 ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/amerique-du-nord/etats-unis/colorado/comte-de-mesa/desert-rats-trail-running-festival-by-utmb/fetdejg0ljsd8itvfzex"                    ,https://www.finishers.com/en/event/desert-rats-trail-running-festival-by-utmb   ,False      ,True        ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,False             ,True           ,False          ,True         ,False           ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,          ,          ,        ,  4.0 ,2025.0 ,         ,39.1588697  ,-108.728988
Istria 100                         ,True           ,Croatia             ,Umag                   ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/croatie/istrie/opcina-umag/100-miles-of-istria/AdobeStock_117150725_wo7puj"                                                     ,https://www.finishers.com/en/event/istria-100-by-utmb                           ,False      ,False       ,False       ,True        ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,False        ,False        ,False             ,False          ,False          ,True         ,False           ,False                 ,False       ,False      ,True          ,False      ,False        ,False                 ,False            ,False          ,False          ,False                  ,True            ,False             ,True      ,     11.0 ,   13.0 ,  4.0 ,2025.0 ,     2.0 ,45.4323587  ,13.5224098
Ultra-Trail Mount Yun              ,True           ,China               ,Linfen                 ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/asie/chine/province-de-shanxi/linfen-shi/ultra-trail-mount-yun-by-utmb-r/yas1zgktcgst2r8gxyza"                                         ,https://www.finishers.com/en/event/ultra-trail-mount-yun-by-utmb-r              ,False      ,True        ,False       ,True        ,False       ,True        ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,True        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,False             ,True           ,False          ,False        ,False           ,True                  ,False       ,False      ,False         ,False      ,False        ,False                 ,False            ,False          ,False          ,False                  ,True            ,False             ,True      ,     11.0 ,   20.0 ,  4.0 ,2025.0 ,     9.0 ,36.229963   ,111.381767
Grand Raid Ventoux                 ,True           ,France              ,Malaucène              ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/france/provence-alpes-cote-dazur/vaucluse/grand-raid-ventoux/AdobeStock_300742020_vypslx"                                       ,https://www.finishers.com/en/event/grand-raid-ventoux-by-utmb-r                 ,False      ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,False             ,True           ,False          ,True         ,False           ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,True      ,     25.0 ,   27.0 ,  4.0 ,2025.0 ,     2.0 ,44.1732744  ,5.1321258
Canyons Endurance Runs             ,True           ,United States       ,Auburn                 ,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/amerique-du-nord/etats-unis/alabama/comte-de-lee/the-canyons-100k/AdobeStock_100491382_ndsoog"                                         ,https://www.finishers.com/en/event/canyons-endurance-runs-by-utmb-r             ,False      ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,True        ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,False       ,True         ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,False        ,True         ,False        ,False        ,False        ,False        ,False        ,False  ,False          ,False         ,False          ,False                      ,False         ,False         ,False                    ,False            ,False        ,False              ,False                 ,False     ,True         ,False        ,False             ,True           ,False          ,True         ,False           ,False                 ,False       ,False      ,False         ,False      ,False        ,True                  ,False            ,False          ,False          ,False                  ,True            ,False             ,True      ,     25.0 ,   26.0 ,  4.0 ,2025.0 ,     1.0 ,32.6098566  ,-85.4807825
